date,duree,taux,type_taux,source
2015-12-01,fixation > 10 ans,2.37,moyen,banque_de_france_mir
2016-01-01,fixation > 10 ans,2.37,moyen,banque_de_france_mir
2016-02-01,fixation > 10 ans,2.31,moyen,banque_de_france_mir
2016-03-01,fixation > 10 ans,2.23,moyen,banque_de_france_mir
2016-04-01,fixation > 10 ans,2.14,moyen,banque_de_france_mir
2016-05-01,fixation > 10 ans,2.01,moyen,banque_de_france_mir
2016-06-01,fixation > 10 ans,1.89,moyen,banque_de_france_mir
2016-07-01,fixation > 10 ans,1.82,moyen,banque_de_france_mir
2016-08-01,fixation > 10 ans,1.76,moyen,banque_de_france_mir
2016-09-01,fixation > 10 ans,1.7,moyen,banque_de_france_mir
2016-10-01,fixation > 10 ans,1.63,moyen,banque_de_france_mir
2016-11-01,fixation > 10 ans,1.59,moyen,banque_de_france_mir
2016-12-01,fixation > 10 ans,1.53,moyen,banque_de_france_mir
2017-01-01,fixation > 10 ans,1.53,moyen,banque_de_france_mir
2017-02-01,fixation > 10 ans,1.57,moyen,banque_de_france_mir
2017-03-01,fixation > 10 ans,1.57,moyen,banque_de_france_mir
2017-04-01,fixation > 10 ans,1.6,moyen,banque_de_france_mir
2017-05-01,fixation > 10 ans,1.62,moyen,banque_de_france_mir
2017-06-01,fixation > 10 ans,1.64,moyen,banque_de_france_mir
2017-07-01,fixation > 10 ans,1.65,moyen,banque_de_france_mir
2017-08-01,fixation > 10 ans,1.69,moyen,banque_de_france_mir
2017-09-01,fixation > 10 ans,1.68,moyen,banque_de_france_mir
2017-10-01,fixation > 10 ans,1.69,moyen,banque_de_france_mir
2017-11-01,fixation > 10 ans,1.67,moyen,banque_de_france_mir
2017-12-01,fixation > 10 ans,1.64,moyen,banque_de_france_mir
2018-01-01,fixation > 10 ans,1.65,moyen,banque_de_france_mir
2018-02-01,fixation > 10 ans,1.65,moyen,banque_de_france_mir
2018-03-01,fixation > 10 ans,1.61,moyen,banque_de_france_mir
2018-04-01,fixation > 10 ans,1.61,moyen,banque_de_france_mir
2018-05-01,fixation > 10 ans,1.6,moyen,banque_de_france_mir
2018-06-01,fixation > 10 ans,1.58,moyen,banque_de_france_mir
2018-07-01,fixation > 10 ans,1.57,moyen,banque_de_france_mir
2018-08-01,fixation > 10 ans,1.56,moyen,banque_de_france_mir
2018-09-01,fixation > 10 ans,1.54,moyen,banque_de_france_mir
2018-10-01,fixation > 10 ans,1.53,moyen,banque_de_france_mir
2018-11-01,fixation > 10 ans,1.53,moyen,banque_de_france_mir
2018-12-01,fixation > 10 ans,1.51,moyen,banque_de_france_mir
2019-01-01,fixation > 10 ans,1.52,moyen,banque_de_france_mir
2019-02-01,fixation > 10 ans,1.54,moyen,banque_de_france_mir
2019-03-01,fixation > 10 ans,1.53,moyen,banque_de_france_mir
2019-04-01,fixation > 10 ans,1.51,moyen,banque_de_france_mir
2019-05-01,fixation > 10 ans,1.47,moyen,banque_de_france_mir
2019-06-01,fixation > 10 ans,1.42,moyen,banque_de_france_mir
2019-07-01,fixation > 10 ans,1.37,moyen,banque_de_france_mir
2019-08-01,fixation > 10 ans,1.33,moyen,banque_de_france_mir
2019-09-01,fixation > 10 ans,1.29,moyen,banque_de_france_mir
2019-10-01,fixation > 10 ans,1.25,moyen,banque_de_france_mir
2019-11-01,fixation > 10 ans,1.22,moyen,banque_de_france_mir
2019-12-01,fixation > 10 ans,1.19,moyen,banque_de_france_mir
2020-01-01,fixation > 10 ans,1.19,moyen,banque_de_france_mir
2020-02-01,fixation > 10 ans,1.2,moyen,banque_de_france_mir
2020-03-01,fixation > 10 ans,1.21,moyen,banque_de_france_mir
2020-04-01,fixation > 10 ans,1.38,moyen,banque_de_france_mir
2020-05-01,fixation > 10 ans,1.28,moyen,banque_de_france_mir
2020-06-01,fixation > 10 ans,1.27,moyen,banque_de_france_mir
2020-07-01,fixation > 10 ans,1.31,moyen,banque_de_france_mir
2020-08-01,fixation > 10 ans,1.32,moyen,banque_de_france_mir
2020-09-01,fixation > 10 ans,1.31,moyen,banque_de_france_mir
2020-10-01,fixation > 10 ans,1.3,moyen,banque_de_france_mir
2020-11-01,fixation > 10 ans,1.29,moyen,banque_de_france_mir
2020-12-01,fixation > 10 ans,1.25,moyen,banque_de_france_mir
2021-01-01,fixation > 10 ans,1.25,moyen,banque_de_france_mir
2021-02-01,fixation > 10 ans,1.23,moyen,banque_de_france_mir
2021-03-01,fixation > 10 ans,1.19,moyen,banque_de_france_mir
2021-04-01,fixation > 10 ans,1.16,moyen,banque_de_france_mir
2021-05-01,fixation > 10 ans,1.15,moyen,banque_de_france_mir
2021-06-01,fixation > 10 ans,1.13,moyen,banque_de_france_mir
2021-07-01,fixation > 10 ans,1.13,moyen,banque_de_france_mir
